w,svg42mf,rpstruct,resp1,rpzhou,svg8w
8.719942e-01,3.572295e-02,1.264274e-01,1.353154e-01,1.661577e-01,3.892826e-01
9.239303e-01,3.285478e-02,1.341028e-01,1.413947e-01,1.780024e-01,4.280253e-01
9.789598e-01,3.115794e-02,1.442851e-01,1.477553e-01,1.931637e-01,4.736764e-01
1.037267e+00,3.013740e-02,1.564241e-01,1.544882e-01,2.108851e-01,5.250211e-01
1.099047e+00,2.967878e-02,1.702316e-01,1.618191e-01,2.307571e-01,5.804707e-01
1.164506e+00,2.972384e-02,1.853504e-01,1.701158e-01,2.522698e-01,6.370400e-01
1.233864e+00,3.030380e-02,2.013960e-01,1.799017e-01,2.748352e-01,6.899602e-01
1.307353e+00,3.157673e-02,2.180036e-01,1.917006e-01,2.978411e-01,7.330710e-01
1.385220e+00,3.366787e-02,2.346522e-01,2.076958e-01,3.204699e-01,7.602954e-01
1.467724e+00,3.646372e-02,2.503763e-01,2.320589e-01,3.413782e-01,7.677578e-01
1.555141e+00,3.979156e-02,2.638138e-01,2.556726e-01,3.586958e-01,7.552860e-01
1.647766e+00,4.361753e-02,2.733670e-01,2.741162e-01,3.701894e-01,7.263556e-01
1.745907e+00,4.805077e-02,2.775137e-01,2.882491e-01,3.737451e-01,6.868671e-01
1.849894e+00,5.330679e-02,2.756160e-01,3.034958e-01,3.684616e-01,6.438964e-01
1.960074e+00,5.969213e-02,2.686446e-01,3.353554e-01,3.557396e-01,6.051594e-01
2.076816e+00,6.761457e-02,2.590963e-01,3.758984e-01,3.392979e-01,5.792315e-01
2.200512e+00,7.763017e-02,2.484942e-01,4.268365e-01,3.240475e-01,5.758176e-01
2.331574e+00,9.056924e-02,2.415744e-01,4.904188e-01,3.147216e-01,6.035350e-01
2.470443e+00,1.077125e-01,2.417709e-01,5.688410e-01,3.207352e-01,6.629376e-01
2.617583e+00,1.303672e-01,2.654261e-01,6.592320e-01,3.656258e-01,7.435786e-01
2.773487e+00,1.573580e-01,3.167085e-01,7.436386e-01,4.272023e-01,8.213190e-01
2.938677e+00,1.814385e-01,3.307358e-01,7.842889e-01,4.358657e-01,8.529948e-01
3.113705e+00,1.929185e-01,3.062922e-01,7.503741e-01,3.927631e-01,8.066394e-01
3.299157e+00,1.910233e-01,2.753444e-01,6.616677e-01,3.436162e-01,7.045651e-01
3.495656e+00,1.827850e-01,2.496827e-01,5.605572e-01,3.033205e-01,5.922170e-01
3.703858e+00,1.738170e-01,2.329666e-01,4.708430e-01,2.730640e-01,4.941576e-01
3.924460e+00,1.662541e-01,2.191939e-01,3.978670e-01,2.509336e-01,4.152202e-01
4.158202e+00,1.604257e-01,2.081496e-01,3.398261e-01,2.345586e-01,3.529127e-01
4.405865e+00,1.560796e-01,1.992853e-01,2.934274e-01,2.220240e-01,3.035190e-01
4.668279e+00,1.528617e-01,1.920747e-01,2.560223e-01,2.120607e-01,2.638554e-01
4.946323e+00,1.504581e-01,1.860946e-01,2.253718e-01,2.038732e-01,2.315195e-01
5.240927e+00,1.486213e-01,1.810227e-01,1.998882e-01,1.969480e-01,2.047625e-01
5.553077e+00,1.471634e-01,1.766168e-01,1.784230e-01,1.909376e-01,1.823173e-01
5.883819e+00,1.459438e-01,1.726954e-01,1.601144e-01,1.855982e-01,1.632586e-01
6.234261e+00,1.448564e-01,1.691216e-01,1.443438e-01,1.807533e-01,1.469019e-01
6.605574e+00,1.438214e-01,1.657919e-01,1.306356e-01,1.762730e-01,1.327337e-01
6.999004e+00,1.427776e-01,1.626271e-01,1.186409e-01,1.720603e-01,1.203626e-01
7.415865e+00,1.416786e-01,1.595668e-01,1.080586e-01,1.680418e-01,1.094859e-01
7.857556e+00,1.404886e-01,1.565643e-01,9.867250e-02,1.641616e-01,9.986624e-02
8.325553e+00,1.391802e-01,1.535837e-01,9.030910e-02,1.603766e-01,9.131466e-02
8.821425e+00,1.377329e-01,1.505972e-01,8.282586e-02,1.566536e-01,8.367882e-02
9.346830e+00,1.361315e-01,1.475833e-01,7.610648e-02,1.529669e-01,7.683430e-02
9.903529e+00,1.343655e-01,1.445257e-01,7.005308e-02,1.492961e-01,7.067828e-02
1.049339e+01,1.324282e-01,1.414121e-01,6.458516e-02,1.456256e-01,6.512483e-02
1.111837e+01,1.303168e-01,1.382338e-01,5.963371e-02,1.419435e-01,6.010141e-02
1.178059e+01,1.280312e-01,1.349850e-01,5.513881e-02,1.382407e-01,5.554618e-02
1.248224e+01,1.255746e-01,1.316627e-01,5.104547e-02,1.345110e-01,5.140605e-02
1.322568e+01,1.229528e-01,1.282664e-01,4.731573e-02,1.307506e-01,4.763505e-02
1.401341e+01,1.201740e-01,1.247978e-01,4.390861e-02,1.269583e-01,4.419319e-02
1.484805e+01,1.172490e-01,1.212611e-01,4.079248e-02,1.231346e-01,4.104547e-02
1.573240e+01,1.141903e-01,1.176622e-01,3.793253e-02,1.192827e-01,3.816115e-02
1.666943e+01,1.110123e-01,1.140092e-01,3.530560e-02,1.154073e-01,3.551315e-02
1.766226e+01,1.077308e-01,1.103117e-01,3.288836e-02,1.115150e-01,3.307752e-02
1.871423e+01,1.043629e-01,1.065806e-01,3.066035e-02,1.076141e-01,3.083308e-02
1.982885e+01,1.009263e-01,1.028280e-01,2.860354e-02,1.037138e-01,2.876103e-02
2.100986e+01,9.743907e-02,9.906669e-02,2.670050e-02,9.982456e-02,2.684470e-02
2.226121e+01,9.391927e-02,9.530997e-02,2.493660e-02,9.595723e-02,2.506925e-02
2.358709e+01,9.038472e-02,9.157112e-02,2.329885e-02,9.212303e-02,2.342151e-02
2.499194e+01,8.685254e-02,8.786320e-02,2.177615e-02,8.833312e-02,2.188973e-02
2.648047e+01,8.333892e-02,8.419875e-02,2.035810e-02,8.459835e-02,2.046345e-02
2.805765e+01,7.985893e-02,8.058957e-02,1.903555e-02,8.092895e-02,1.913334e-02
2.972877e+01,7.642628e-02,7.704648e-02,1.780025e-02,7.733440e-02,1.789108e-02
3.149942e+01,7.305326e-02,7.357921e-02,1.664482e-02,7.382322e-02,1.672923e-02
3.337553e+01,6.975064e-02,7.019628e-02,1.556267e-02,7.040289e-02,1.564116e-02
3.536338e+01,6.652768e-02,6.690497e-02,1.454789e-02,6.707977e-02,1.462091e-02
3.746963e+01,6.339211e-02,6.371130e-02,1.359523e-02,6.385909e-02,1.366317e-02
3.970133e+01,6.035020e-02,6.062008e-02,1.269994e-02,6.074493e-02,1.276317e-02
4.206595e+01,5.740687e-02,5.763493e-02,1.185779e-02,5.774034e-02,1.191666e-02
4.457140e+01,5.456574e-02,5.475836e-02,1.106499e-02,5.484731e-02,1.111979e-02
4.722608e+01,5.182928e-02,5.199189e-02,1.031816e-02,5.206691e-02,1.036917e-02
5.003888e+01,4.919890e-02,4.933613e-02,9.614248e-03,4.939938e-02,9.661702e-03
5.301920e+01,4.667512e-02,4.679089e-02,8.950536e-03,4.684418e-02,8.994659e-03
5.617704e+01,4.425762e-02,4.435525e-02,8.324652e-03,4.440014e-02,8.365581e-03
5.952295e+01,4.194542e-02,4.202773e-02,7.734276e-03,4.206553e-02,7.772271e-03
6.306815e+01,3.973693e-02,3.980631e-02,7.177526e-03,3.983812e-02,7.212762e-03
6.682450e+01,3.763010e-02,3.768857e-02,6.652649e-03,3.771534e-02,6.685293e-03
7.080458e+01,3.562248e-02,3.567175e-02,6.158076e-03,3.569427e-02,6.188281e-03
7.502171e+01,3.371133e-02,3.375283e-02,5.692389e-03,3.377178e-02,5.720301e-03
7.949002e+01,3.189364e-02,3.192860e-02,5.254302e-03,3.194453e-02,5.280060e-03
8.422446e+01,3.016625e-02,3.019569e-02,4.842641e-03,3.020909e-02,4.866376e-03
8.924088e+01,2.852587e-02,2.855066e-02,4.456320e-03,2.856192e-02,4.478157e-03
9.455608e+01,2.696913e-02,2.699000e-02,4.094321e-03,2.699947e-02,4.114381e-03
1.001879e+02,2.549264e-02,2.551021e-02,3.755680e-03,2.551816e-02,3.774078e-03
1.061551e+02,2.409299e-02,2.410778e-02,3.439465e-03,2.411447e-02,3.456312e-03
1.124777e+02,2.276682e-02,2.277926e-02,3.144802e-03,2.278488e-02,3.160171e-03
1.191769e+02,2.151078e-02,2.152126e-02,2.870724e-03,2.152598e-02,2.884753e-03
1.262751e+02,2.032163e-02,2.033045e-02,2.616373e-03,2.033442e-02,2.629158e-03
1.337960e+02,1.919619e-02,1.920360e-02,2.380851e-03,1.920694e-02,2.392484e-03
1.417650e+02,1.813135e-02,1.813759e-02,2.163252e-03,1.814039e-02,2.173822e-03
1.502085e+02,1.712413e-02,1.712938e-02,1.962667e-03,1.713173e-02,1.972255e-03
1.591549e+02,1.617163e-02,1.617605e-02,1.778177e-03,1.617803e-02,1.786864e-03
