wlf,svlfx,svlfn,cnlf
6.352599e-01,6.316494e-02,1.232438e-02,5.125201e+00
6.657111e-01,3.944522e-02,1.187638e-02,3.321316e+00
6.664382e-01,3.902978e-02,1.187341e-02,3.287158e+00
7.056364e-01,2.252352e-02,1.224364e-02,1.839610e+00
7.061472e-01,2.236714e-02,1.225382e-02,1.825319e+00
7.352596e-01,1.577855e-02,1.235009e-02,1.277606e+00
7.607243e-01,1.557651e-02,9.257576e-03,1.682569e+00
7.828687e-01,1.681261e-02,6.755068e-03,2.488888e+00
8.020309e-01,1.810293e-02,5.763559e-03,3.140929e+00
8.216621e-01,1.953817e-02,6.054662e-03,3.226963e+00
8.455803e-01,2.139307e-02,7.591033e-03,2.818203e+00
8.748659e-01,2.378877e-02,1.013748e-02,2.346615e+00
9.109340e-01,2.691451e-02,1.350224e-02,1.993337e+00
9.556654e-01,3.107025e-02,1.769822e-02,1.755558e+00
9.676636e-01,3.222900e-02,1.881396e-02,1.713037e+00
1.009442e+00,3.616788e-02,2.254656e-02,1.604142e+00
1.011601e+00,3.635219e-02,2.272536e-02,1.599631e+00
1.013642e+00,3.652294e-02,2.289224e-02,1.595429e+00
1.046337e+00,3.848207e-02,2.510573e-02,1.532800e+00
1.078728e+00,3.796218e-02,2.579007e-02,1.471969e+00
1.086064e+00,3.746401e-02,2.567909e-02,1.458930e+00
1.112121e+00,3.522058e-02,2.476633e-02,1.422115e+00
1.113400e+00,3.511243e-02,2.471288e-02,1.420815e+00
1.118871e+00,3.467089e-02,2.448802e-02,1.415831e+00
1.152769e+00,3.311471e-02,2.362179e-02,1.401871e+00
1.202540e+00,3.427544e-02,2.447819e-02,1.400244e+00
1.263905e+00,3.790372e-02,2.711502e-02,1.397886e+00
1.340188e+00,4.282913e-02,3.065093e-02,1.397319e+00
1.435933e+00,4.867235e-02,3.472296e-02,1.401734e+00
1.443256e+00,4.910022e-02,3.501590e-02,1.402226e+00
1.495523e+00,5.208071e-02,3.703852e-02,1.406123e+00
1.557476e+00,5.545878e-02,3.929669e-02,1.411284e+00
1.713843e+00,6.334496e-02,4.445814e-02,1.424823e+00
1.918205e+00,7.250794e-02,5.032607e-02,1.440763e+00
2.041401e+00,7.750202e-02,5.348888e-02,1.448937e+00
2.385041e+00,8.965704e-02,6.113226e-02,1.466608e+00
2.786528e+00,1.010905e-01,6.829140e-02,1.480282e+00
3.255599e+00,1.114412e-01,7.476998e-02,1.490453e+00
3.803632e+00,1.203546e-01,8.035625e-02,1.497763e+00
4.443918e+00,1.275379e-01,8.486695e-02,1.502798e+00
5.191988e+00,1.327926e-01,8.817195e-02,1.506064e+00
6.065983e+00,1.360202e-01,9.019949e-02,1.507993e+00
7.087104e+00,1.372056e-01,9.092732e-02,1.508959e+00
8.280115e+00,1.363925e-01,9.036945e-02,1.509277e+00
9.673952e+00,1.336668e-01,8.856794e-02,1.509201e+00
1.130242e+01,1.291550e-01,8.559443e-02,1.508919e+00
1.320502e+01,1.230371e-01,8.155949e-02,1.508556e+00
1.542789e+01,1.155606e-01,7.662208e-02,1.508190e+00
1.802495e+01,1.070433e-01,7.099028e-02,1.507858e+00
2.105919e+01,9.785374e-02,6.490790e-02,1.507578e+00
2.460420e+01,8.837489e-02,5.862927e-02,1.507351e+00
2.874596e+01,7.896127e-02,5.239035e-02,1.507172e+00
3.358493e+01,6.990478e-02,4.638567e-02,1.507034e+00
3.923847e+01,6.141706e-02,4.075644e-02,1.506929e+00
4.584369e+01,5.362888e-02,3.559006e-02,1.506850e+00
5.356081e+01,4.660137e-02,3.092757e-02,1.506791e+00
6.257700e+01,4.034247e-02,2.677455e-02,1.506747e+00
7.311093e+01,3.482370e-02,2.311235e-02,1.506714e+00
8.541809e+01,2.999444e-02,1.990751e-02,1.506690e+00
9.979699e+01,2.579267e-02,1.711896e-02,1.506672e+00
1.165964e+02,2.215246e-02,1.470303e-02,1.506659e+00
1.362237e+02,1.900880e-02,1.261660e-02,1.506650e+00
1.591549e+02,1.630033e-02,1.081897e-02,1.506643e+00
