wg8w,svg8w,freq1,resp1
1.205639e-02,2.852209e-01,1.205639e-02,1.218545e-01
1.277447e-02,2.841533e-01,1.277447e-02,1.213053e-01
1.353532e-02,2.832117e-01,1.353532e-02,1.207248e-01
1.434148e-02,2.824220e-01,1.434148e-02,1.201187e-01
1.519566e-02,2.818104e-01,1.519566e-02,1.194926e-01
1.610072e-02,2.814030e-01,1.610072e-02,1.188519e-01
1.705968e-02,2.812252e-01,1.705968e-02,1.182017e-01
1.807576e-02,2.813014e-01,1.807576e-02,1.175462e-01
1.915235e-02,2.816548e-01,1.915235e-02,1.168889e-01
2.029307e-02,2.823066e-01,2.029307e-02,1.160994e-01
2.150173e-02,2.832763e-01,2.150173e-02,1.154559e-01
2.278238e-02,2.845810e-01,2.278238e-02,1.148156e-01
2.413930e-02,2.862351e-01,2.413930e-02,1.141771e-01
2.557704e-02,2.882503e-01,2.557704e-02,1.135372e-01
2.710041e-02,2.906349e-01,2.710041e-02,1.128939e-01
2.871452e-02,2.933938e-01,2.871452e-02,1.122373e-01
3.042476e-02,2.965277e-01,3.042476e-02,1.115628e-01
3.223686e-02,3.000332e-01,3.223686e-02,1.108626e-01
3.415690e-02,3.039021e-01,3.415690e-02,1.101292e-01
3.619129e-02,3.081213e-01,3.619129e-02,1.093560e-01
3.834685e-02,3.126718e-01,3.834685e-02,1.085330e-01
4.063079e-02,3.175292e-01,4.063079e-02,1.076491e-01
4.305077e-02,3.226628e-01,4.305077e-02,1.066962e-01
4.561488e-02,3.280356e-01,4.561488e-02,1.056637e-01
4.833171e-02,3.336044e-01,4.833171e-02,1.045387e-01
5.121036e-02,3.393198e-01,5.121036e-02,1.033125e-01
5.426046e-02,3.451262e-01,5.426046e-02,1.019893e-01
5.749222e-02,3.509627e-01,5.749222e-02,1.013212e-01
6.091647e-02,3.567631e-01,6.091647e-02,1.013498e-01
6.454466e-02,3.624571e-01,6.454466e-02,1.013911e-01
6.838895e-02,3.679706e-01,6.838895e-02,1.014381e-01
7.246221e-02,3.732274e-01,7.246221e-02,1.014908e-01
7.677807e-02,3.781496e-01,7.677807e-02,1.015496e-01
8.135099e-02,3.826588e-01,8.135099e-02,1.016155e-01
8.619627e-02,3.866774e-01,8.619627e-02,1.016893e-01
9.133014e-02,3.901297e-01,9.133014e-02,1.017729e-01
9.676977e-02,3.929426e-01,9.676977e-02,1.018639e-01
1.025334e-01,3.950474e-01,1.025334e-01,1.019669e-01
1.086403e-01,3.963802e-01,1.086403e-01,1.020819e-01
1.151109e-01,3.968839e-01,1.151109e-01,1.022109e-01
1.219670e-01,3.965086e-01,1.219670e-01,1.023552e-01
1.292313e-01,3.952141e-01,1.292313e-01,1.025163e-01
1.369284e-01,3.929708e-01,1.369284e-01,1.026933e-01
1.450839e-01,3.897616e-01,1.450839e-01,1.028931e-01
1.537251e-01,3.855836e-01,1.537251e-01,1.031156e-01
1.628810e-01,3.804502e-01,1.628810e-01,1.033639e-01
1.725822e-01,3.743919e-01,1.725822e-01,1.036407e-01
1.828612e-01,3.674574e-01,1.828612e-01,1.039501e-01
1.937525e-01,3.597142e-01,1.937525e-01,1.042979e-01
2.052924e-01,3.512478e-01,2.052924e-01,1.046871e-01
2.175197e-01,3.421601e-01,2.175197e-01,1.051232e-01
2.304752e-01,3.325671e-01,2.304752e-01,1.056132e-01
2.442023e-01,3.225961e-01,2.442023e-01,1.061679e-01
2.587471e-01,3.123819e-01,2.587471e-01,1.067845e-01
2.741581e-01,3.020638e-01,2.741581e-01,1.074800e-01
2.904870e-01,2.917829e-01,2.904870e-01,1.082652e-01
3.077884e-01,2.816824e-01,3.077884e-01,1.091384e-01
3.261204e-01,2.719125e-01,3.261204e-01,1.101084e-01
3.455442e-01,2.626482e-01,3.455442e-01,1.111926e-01
3.661248e-01,2.541513e-01,3.661248e-01,1.123846e-01
3.879313e-01,2.470261e-01,3.879313e-01,1.136704e-01
4.110365e-01,2.437764e-01,4.110365e-01,1.143898e-01
4.355180e-01,2.555843e-01,4.355180e-01,1.155303e-01
4.614575e-01,2.888551e-01,4.614575e-01,1.163097e-01
4.889420e-01,3.398510e-01,4.889420e-01,1.162220e-01
5.180634e-01,4.125767e-01,5.180634e-01,1.143696e-01
5.489194e-01,5.110880e-01,5.489194e-01,1.081237e-01
5.816131e-01,6.195081e-01,5.816131e-01,1.077234e-01
6.162541e-01,6.715747e-01,6.162541e-01,1.106396e-01
6.529583e-01,6.198955e-01,6.529583e-01,1.138998e-01
6.918486e-01,5.245918e-01,6.918486e-01,1.167217e-01
7.330553e-01,4.418327e-01,7.330553e-01,1.204463e-01
7.767162e-01,3.843324e-01,7.767162e-01,1.247001e-01
8.229775e-01,3.639249e-01,8.229775e-01,1.296584e-01
8.719942e-01,3.892826e-01,8.719942e-01,1.353154e-01
9.239303e-01,4.280253e-01,9.239303e-01,1.413947e-01
9.789598e-01,4.736764e-01,9.789598e-01,1.477553e-01
1.037267e+00,5.250211e-01,1.037267e+00,1.544882e-01
1.099047e+00,5.804707e-01,1.099047e+00,1.618191e-01
1.164506e+00,6.370400e-01,1.164506e+00,1.701158e-01
1.233864e+00,6.899602e-01,1.233864e+00,1.799017e-01
1.307353e+00,7.330710e-01,1.307353e+00,1.917006e-01
1.385220e+00,7.602954e-01,1.385220e+00,2.076958e-01
1.467724e+00,7.677578e-01,1.467724e+00,2.320589e-01
1.555141e+00,7.552860e-01,1.555141e+00,2.556726e-01
1.647766e+00,7.263556e-01,1.647766e+00,2.741162e-01
1.745907e+00,6.868671e-01,1.745907e+00,2.882491e-01
1.849894e+00,6.438964e-01,1.849894e+00,3.034958e-01
1.960074e+00,6.051594e-01,1.960074e+00,3.353554e-01
2.076816e+00,5.792315e-01,2.076816e+00,3.758984e-01
2.200512e+00,5.758176e-01,2.200512e+00,4.268365e-01
2.331574e+00,6.035350e-01,2.331574e+00,4.904188e-01
2.470443e+00,6.629376e-01,2.470443e+00,5.688410e-01
2.617583e+00,7.435786e-01,2.617583e+00,6.592320e-01
2.773487e+00,8.213190e-01,2.773487e+00,7.436386e-01
2.938677e+00,8.529948e-01,2.938677e+00,7.842889e-01
3.113705e+00,8.066394e-01,3.113705e+00,7.503741e-01
3.299157e+00,7.045651e-01,3.299157e+00,6.616677e-01
3.495656e+00,5.922170e-01,3.495656e+00,5.605572e-01
3.703858e+00,4.941576e-01,3.703858e+00,4.708430e-01
3.924460e+00,4.152202e-01,3.924460e+00,3.978670e-01
4.158202e+00,3.529127e-01,4.158202e+00,3.398261e-01
4.405865e+00,3.035190e-01,4.405865e+00,2.934274e-01
4.668279e+00,2.638554e-01,4.668279e+00,2.560223e-01
4.946323e+00,2.315195e-01,4.946323e+00,2.253718e-01
5.240927e+00,2.047625e-01,5.240927e+00,1.998882e-01
5.553077e+00,1.823173e-01,5.553077e+00,1.784230e-01
5.883819e+00,1.632586e-01,5.883819e+00,1.601144e-01
6.234261e+00,1.469019e-01,6.234261e+00,1.443438e-01
6.605574e+00,1.327337e-01,6.605574e+00,1.306356e-01
6.999004e+00,1.203626e-01,6.999004e+00,1.186409e-01
7.415865e+00,1.094859e-01,7.415865e+00,1.080586e-01
7.857556e+00,9.986624e-02,7.857556e+00,9.867250e-02
8.325553e+00,9.131466e-02,8.325553e+00,9.030910e-02
8.821425e+00,8.367882e-02,8.821425e+00,8.282586e-02
9.346830e+00,7.683430e-02,9.346830e+00,7.610648e-02
9.903529e+00,7.067828e-02,9.903529e+00,7.005308e-02
1.049339e+01,6.512483e-02,1.049339e+01,6.458516e-02
1.111837e+01,6.010141e-02,1.111837e+01,5.963371e-02
1.178059e+01,5.554618e-02,1.178059e+01,5.513881e-02
1.248224e+01,5.140605e-02,1.248224e+01,5.104547e-02
1.322568e+01,4.763505e-02,1.322568e+01,4.731573e-02
1.401341e+01,4.419319e-02,1.401341e+01,4.390861e-02
1.484805e+01,4.104547e-02,1.484805e+01,4.079248e-02
1.573240e+01,3.816115e-02,1.573240e+01,3.793253e-02
1.666943e+01,3.551315e-02,1.666943e+01,3.530560e-02
1.766226e+01,3.307752e-02,1.766226e+01,3.288836e-02
1.871423e+01,3.083308e-02,1.871423e+01,3.066035e-02
1.982885e+01,2.876103e-02,1.982885e+01,2.860354e-02
2.100986e+01,2.684470e-02,2.100986e+01,2.670050e-02
2.226121e+01,2.506925e-02,2.226121e+01,2.493660e-02
2.358709e+01,2.342151e-02,2.358709e+01,2.329885e-02
2.499194e+01,2.188973e-02,2.499194e+01,2.177615e-02
2.648047e+01,2.046345e-02,2.648047e+01,2.035810e-02
2.805765e+01,1.913334e-02,2.805765e+01,1.903555e-02
2.972877e+01,1.789108e-02,2.972877e+01,1.780025e-02
3.149942e+01,1.672923e-02,3.149942e+01,1.664482e-02
3.337553e+01,1.564116e-02,3.337553e+01,1.556267e-02
3.536338e+01,1.462091e-02,3.536338e+01,1.454789e-02
3.746963e+01,1.366317e-02,3.746963e+01,1.359523e-02
3.970133e+01,1.276317e-02,3.970133e+01,1.269994e-02
4.206595e+01,1.191666e-02,4.206595e+01,1.185779e-02
4.457140e+01,1.111979e-02,4.457140e+01,1.106499e-02
4.722608e+01,1.036917e-02,4.722608e+01,1.031816e-02
5.003888e+01,9.661702e-03,5.003888e+01,9.614248e-03
5.301920e+01,8.994659e-03,5.301920e+01,8.950536e-03
5.617704e+01,8.365581e-03,5.617704e+01,8.324652e-03
5.952295e+01,7.772271e-03,5.952295e+01,7.734276e-03
6.306815e+01,7.212762e-03,6.306815e+01,7.177526e-03
6.682450e+01,6.685293e-03,6.682450e+01,6.652649e-03
7.080458e+01,6.188281e-03,7.080458e+01,6.158076e-03
7.502171e+01,5.720301e-03,7.502171e+01,5.692389e-03
7.949002e+01,5.280060e-03,7.949002e+01,5.254302e-03
8.422446e+01,4.866376e-03,8.422446e+01,4.842641e-03
8.924088e+01,4.478157e-03,8.924088e+01,4.456320e-03
9.455608e+01,4.114381e-03,9.455608e+01,4.094321e-03
1.001879e+02,3.774078e-03,1.001879e+02,3.755680e-03
1.061551e+02,3.456312e-03,1.061551e+02,3.439465e-03
1.124777e+02,3.160171e-03,1.124777e+02,3.144802e-03
1.191769e+02,2.884753e-03,1.191769e+02,2.870724e-03
1.262751e+02,2.629158e-03,1.262751e+02,2.616373e-03
1.337960e+02,2.392484e-03,1.337960e+02,2.380851e-03
1.417650e+02,2.173822e-03,1.417650e+02,2.163252e-03
1.502085e+02,1.972255e-03,1.502085e+02,1.962667e-03
1.591549e+02,1.786864e-03,1.591549e+02,1.778177e-03
